AO,adolescent
2000_AO043,0.7911715532558998
1999_AO024A,0.782488142811124
2013_AO0013,0.733053978795059
2000_AO034A,0.6982140014972454
1998_AO001A,0.6832492652361591
2006_AO035,0.6671226806424573
2013_AO0011,0.6203194995274365
2000_AO138A,0.5959095203008047
1994_AO031F,0.5875008067178092
2006_AO016,0.5842399391996054
1980_AO090B,0.5737050865489928
1970_AO116,0.555008763530818
2000_AO144,0.5429520834646784
2004_AO176,0.5263875574181232
2009_AO006,0.4959863053053225
1997_AO001B,0.49275455502742793
1998_AO004,0.4892777662063681
2016_AO0005,0.4603840153313824
2008_AO011,0.43281847374769244
1970_AO118,0.4214136646294057
1998_AO017A,0.4152560568311245
1999_AO048B,0.40523182338819974
2007_AO010,0.4045720760543508
2014_AO0031,0.4036205391139005
1970_AO114,0.3953100725180145
2015_AO030 (VERSION 2),0.39392165766851406
2015_AO030,0.39392165766851406
2014_AO0002,0.390104561842915
1998_AO012,0.3791160702425604
2002_AO074,0.3743554382969834
1979_AO032,0.3718820497586802
1996_AO043,0.36871188321425286
1975_AO255,0.36869742927211047
2007_AO007,0.366350891771573
2007_AO009,0.36563224317554366
2017_AO0005,0.36184802887779277
2001_AO008,0.36103956342347693
2015_AO054,0.3604404954259109
1995_AO010A,0.3594826363662945
1978_AO014,0.3585201477101434
