AO,specpop
1999_AO016A,0.21670605798936057
2000_AO100,0.18274330077118126
2004_AO185,0.15881773289579287
2006_AO003,0.1555361028266987
2013_AO0005,0.10522154911315286
2000_AO144,0.09463350121250046
1974_AO204,0.07317073170731708
1993_AO014,0.07317073170731708
1972_AO173,0.0719683103059204
1982_AO027,0.0712894708248031
1973_AO202,0.07072784854293403
1988_AO038,0.07048414098966076
1970_AO137,0.06906512577474114
1987_AO019,0.06895678314584316
1987_AO028A,0.06795450522804844
2004_AO151,0.06768347353429922
1983_AO062,0.06757037376737185
2005_AO026,0.06746255636228762
2001_AO067,0.06730594246405439
1982_AO022,0.06693619885238407
1981_AO118,0.06661693454611317
1985_AO136B,0.0661308002615188
1985_AO106B,0.06596970979350958
2004_AO180,0.06581457090185525
1993_AO017,0.06562116337977197
1988_AO044,0.06535869559068337
1981_AO120,0.0652921963835165
1975_AO241,0.06502474858089603
2002_AO106,0.06493975142912108
1973_AO200A,0.06487313266010208
1980_AO079,0.06478139578478381
1987_AO016,0.06476397988094958
1984_AO104A,0.06462714165940923
1978_AO343,0.06456658610605345
2006_AO034C,0.06436109008993014
2000_AO032,0.06431781652440453
1981_AO132,0.06429959164481872
2000_AO011,0.06428972199146164
1971_AO161,0.06394369374266244
1974_AO212,0.06392196393469354
