AO,adolescent
1970_AO118,0.43481606164840025
1970_AO115,0.42562163642630435
2003_AO101,0.407493005613829
2015_AO030,0.40514789939357615
2015_AO030 (VERSION 2),0.40514789939357615
1999_AO048B,0.39839364976201225
1975_AO255,0.3958347621483845
2009_AO016,0.38744991518364946
1998_AO011D,0.38516923219845706
2002_AO074,0.3816114710089482
2001_AO050A,0.3815396187338807
1982_AO026C,0.3763753963473912
1996_AO043,0.37448569426020173
1978_AO014,0.37199140857456775
1998_AO003,0.3657580606623906
2010_AO023,0.3636103406623066
1980_AO087,0.3631416191593546
1978_AO008,0.3597823036812031
1975_AO270,0.3563007482499474
1972_AO174,0.35441703212135156
1976_AO306,0.3542523431782321
1995_AO010A,0.34655172266941836
1977_AO326,0.3444270887650952
1996_AO003A,0.34141952975666384
2006_AO036A,0.34113430562635566
1997_AO002B,0.34049388054136376
2008_AO022,0.33980619916953503
2010_AO027,0.3393398447292024
2014_AO0005,0.3344884791215091
2015_AO0027,0.3341779078415082
2008_AO012,0.33376724095148325
2014_AO0005_VERSION_2,0.3329721961048368
